cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret
DU-145,act_hamming+zero,0,3053.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-56.58000183105469,36.75999450683594
DU-145,act_hamming+zero,1,740.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,51.15999603271485
DU-145,act_hamming+zero,2,3053.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.7400016784668,50.59999465942383
DU-145,act_hamming+zero,3,9706.0,754230.0,4.999999873689376e-06,5.999999941330714e-10,-29.780000686645508,63.55999565124512
DU-145,act_hamming+zero,4,698037.0,761432.0,9.99999993922529e-09,5.000000058430487e-08,-50.59199905395508,42.74799728393555
DU-145,act_hamming+zero,5,755.0,719344.0,1.9999999949504854e-06,1.0000000116860974e-07,1.5199999809265137,94.85999631881714
DU-145,act_hamming+zero,6,26980.0,719627.0,4.999999987376214e-07,4.999999987376214e-07,0.1700000017881393,93.50999633967876
DU-145,act_hamming+zero,7,740.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,51.15999603271485
DU-145,act_hamming+zero,8,9706.0,49842.0,4.999999873689376e-06,2.999999970665357e-10,-2.7200000286102295,90.6199963092804
DU-145,act_hamming+zero,9,740.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,51.15999603271485
DU-145,hamming+zero,0,3053.0,754143.0,9.99999993922529e-09,9.99999993922529e-09,-56.58000183105469,36.75999450683594
DU-145,hamming+zero,1,740.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,51.15999603271485
DU-145,hamming+zero,2,3053.0,9706.0,9.99999993922529e-09,4.999999873689376e-06,-42.7400016784668,50.59999465942383
DU-145,hamming+zero,3,9706.0,754230.0,4.999999873689376e-06,5.999999941330714e-10,-29.780000686645508,63.55999565124512
DU-145,hamming+zero,4,698037.0,761432.0,9.99999993922529e-09,5.000000058430487e-08,-50.59199905395508,42.74799728393555
DU-145,hamming+zero,5,755.0,719344.0,1.9999999949504854e-06,1.0000000116860974e-07,1.5199999809265137,94.85999631881714
DU-145,hamming+zero,6,26980.0,719627.0,4.999999987376214e-07,4.999999987376214e-07,0.1700000017881393,93.50999633967876
