dataset,cell_line,row_kind,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,pool_optimum_percent_growth,chose_pool_optimum,best_step,n_replicates,pool_index,source_pool_index,pool_size,pool_size_full,n_init,n_iter
almanac,786-0,bo_selection,act_hamming+zero,0,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,act_hamming+zero,1,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,act_hamming+zero,2,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,act_hamming+zero,3,92859,241240,6.000000212225132e-06,1.9999999949504854e-06,-29.440000534057617,59.76999855041504,-89.20999908447266,False,9,1,2253,25801,4000,46283,10,20
almanac,786-0,bo_selection,act_hamming+zero,4,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,act_hamming+zero,5,119875,719627,1.9999999494757503e-05,4.999999987376214e-07,-54.970001220703125,34.23999786376953,-89.20999908447266,False,4,1,2512,28933,4000,46283,10,20
almanac,786-0,bo_selection,act_hamming+zero,6,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,act_hamming+zero,7,26271,246131,9.999999974752427e-07,1.9999999494757503e-05,-56.7599983215332,32.45000076293945,-89.20999908447266,False,2,1,1234,14267,4000,46283,10,20
almanac,786-0,bo_selection,act_hamming+zero,8,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,act_hamming+zero,9,681239,754143,3.000000106112566e-07,1.000000013351432e-10,-50.65999984741211,38.54999923706055,-89.20999908447266,False,7,1,3576,41153,4000,46283,10,20
almanac,786-0,bo_selection,hamming+zero,0,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,hamming+zero,1,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,hamming+zero,2,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,hamming+zero,3,92859,241240,6.000000212225132e-06,1.9999999949504854e-06,-29.440000534057617,59.76999855041504,-89.20999908447266,False,9,1,2253,25801,4000,46283,10,20
almanac,786-0,bo_selection,hamming+zero,4,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,hamming+zero,5,119875,719627,1.9999999494757503e-05,4.999999987376214e-07,-54.970001220703125,34.23999786376953,-89.20999908447266,False,4,1,2512,28933,4000,46283,10,20
almanac,786-0,bo_selection,hamming+zero,6,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,hamming+zero,7,26271,246131,9.999999974752427e-07,1.9999999494757503e-05,-56.7599983215332,32.45000076293945,-89.20999908447266,False,2,1,1234,14267,4000,46283,10,20
almanac,786-0,bo_selection,hamming+zero,8,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27,1,24,177,4000,46283,10,20
almanac,786-0,bo_selection,hamming+zero,9,681239,754143,3.000000106112566e-07,1.000000013351432e-10,-50.65999984741211,38.54999923706055,-89.20999908447266,False,7,1,3576,41153,4000,46283,10,20
almanac,786-0,bo_selection,linear_curve,0,14229,119875,3.000000106112566e-06,1.9999999494757503e-05,-75.56999969482422,13.639999389648438,-89.20999908447266,False,27,1,913,10286,4000,46283,10,20
almanac,786-0,bo_selection,linear_curve,1,296961,681239,9.999999747378752e-05,3.000000106112566e-07,-89.05000305175781,0.15999603271484375,-89.20999908447266,False,11,1,3276,37555,4000,46283,10,20
almanac,786-0,bo_selection,linear_curve,2,14229,119875,3.000000106112566e-06,1.9999999494757503e-05,-75.56999969482422,13.639999389648438,-89.20999908447266,False,18,1,913,10286,4000,46283,10,20
almanac,786-0,bo_selection,linear_curve,3,296961,681239,9.999999747378752e-05,3.000000106112566e-07,-89.05000305175781,0.15999603271484375,-89.20999908447266,False,12,1,3276,37555,4000,46283,10,20
almanac,786-0,bo_selection,linear_curve,4,14229,119875,3.000000106112566e-06,1.9999999494757503e-05,-75.56999969482422,13.639999389648438,-89.20999908447266,False,23,1,913,10286,4000,46283,10,20
almanac,786-0,bo_selection,linear_curve,5,14229,119875,3.000000106112566e-06,1.9999999494757503e-05,-75.56999969482422,13.639999389648438,-89.20999908447266,False,20,1,913,10286,4000,46283,10,20
almanac,786-0,bo_selection,linear_curve,6,109724,119875,9.999999747378752e-05,1.9999999494757503e-05,-53.959999084472656,35.25,-89.20999908447266,False,23,1,2389,27458,4000,46283,10,20
almanac,786-0,bo_selection,linear_curve,7,14229,119875,3.000000106112566e-06,1.9999999494757503e-05,-75.56999969482422,13.639999389648438,-89.20999908447266,False,25,1,913,10286,4000,46283,10,20
almanac,786-0,bo_selection,linear_curve,8,713563,754143,9.999999747378752e-05,9.99999993922529e-09,-72.54499816894531,16.665000915527344,-89.20999908447266,False,19,1,3706,42742,4000,46283,10,20
almanac,786-0,bo_selection,linear_curve,9,681239,754143,3.000000106112566e-07,1.000000013351432e-10,-50.65999984741211,38.54999923706055,-89.20999908447266,False,7,1,3576,41153,4000,46283,10,20
almanac,786-0,bo_selection,ours+zero,0,119875,628503,1.9999999494757503e-05,3.999999975690116e-08,-55.72999954223633,33.47999954223633,-89.20999908447266,False,16,1,2505,28808,4000,46283,10,20
almanac,786-0,bo_selection,ours+zero,1,8806,713563,9.999999747378752e-06,9.999999747378752e-05,-46.970001220703125,42.23999786376953,-89.20999908447266,False,15,1,748,8261,4000,46283,10,20
almanac,786-0,bo_selection,ours+zero,2,8806,713563,9.999999747378752e-06,9.999999747378752e-05,-46.970001220703125,42.23999786376953,-89.20999908447266,False,26,1,748,8261,4000,46283,10,20
almanac,786-0,bo_selection,ours+zero,3,9706,92859,5.000000058430487e-08,6.000000212225132e-06,-38.130001068115234,51.07999801635742,-89.20999908447266,False,28,1,790,8696,4000,46283,10,20
almanac,786-0,bo_selection,ours+zero,4,740,747971,1.0000000116860974e-07,2.0000000233721948e-07,-33.560001373291016,55.64999771118164,-89.20999908447266,False,19,1,60,663,4000,46283,10,20
almanac,786-0,bo_selection,ours+zero,5,119875,719627,1.9999999494757503e-05,4.999999987376214e-07,-54.970001220703125,34.23999786376953,-89.20999908447266,False,4,1,2512,28933,4000,46283,10,20
almanac,786-0,bo_selection,ours+zero,6,755,125973,1.9999999949504854e-06,3.000000026176508e-09,-61.0,28.209999084472656,-89.20999908447266,False,15,1,269,2931,4000,46283,10,20
almanac,786-0,bo_selection,ours+zero,7,26271,246131,9.999999974752427e-07,1.9999999494757503e-05,-56.7599983215332,32.45000076293945,-89.20999908447266,False,2,1,1234,14267,4000,46283,10,20
almanac,786-0,bo_selection,ours+zero,8,740,755,1.0000000116860974e-07,1.999999987845058e-08,-33.11000061035156,56.099998474121094,-89.20999908447266,False,23,1,2,24,4000,46283,10,20
almanac,786-0,bo_selection,ours+zero,9,681239,754143,3.000000106112566e-07,1.000000013351432e-10,-50.65999984741211,38.54999923706055,-89.20999908447266,False,7,1,3576,41153,4000,46283,10,20
almanac,786-0,bo_selection,random,0,6396,713563,1.0000000116860974e-07,9.999999747378752e-05,-5.556000232696533,83.65399932861328,-89.20999908447266,False,0,1,672,7418,4000,46283,10,20
almanac,786-0,bo_selection,random,1,26271,246131,9.999999974752427e-07,1.9999999494757503e-05,-56.7599983215332,32.45000076293945,-89.20999908447266,False,23,1,1234,14267,4000,46283,10,20
almanac,786-0,bo_selection,random,2,34462,79037,4.999999873689376e-05,4.999999987376214e-07,-5.4629998207092285,83.74700164794922,-89.20999908447266,False,24,1,1488,16989,4000,46283,10,20
