cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,source
DU-145,combo_diffusion,0,226080,754143,9.99999993922529e-09,9.99999993922529e-09,-64.06999969482422,29.269996643066406,bo_selection
DU-145,bocs_sparse,0,6396,754143,1.0000000116860974e-07,9.99999993922529e-09,-73.33000183105469,20.009994506835938,bo_selection
DU-145,combo_diffusion,2,3053,9706,9.99999993922529e-09,4.999999873689376e-06,-42.7400016784668,50.59999465942383,bo_selection
DU-145,bocs_sparse,2,3053,3088,9.99999993922529e-09,9.999999747378752e-05,-54.305999755859375,39.03399658203125,bo_selection
DU-145,combo_diffusion,1,79037,141540,4.999999873689376e-05,4.999999873689376e-06,-33.89899826049805,59.44099807739258,bo_selection
DU-145,bocs_sparse,1,79037,141540,4.999999873689376e-05,4.999999873689376e-06,-33.89899826049805,59.44099807739258,bo_selection
DU-145,combo_diffusion,3,9706,754230,4.999999873689376e-06,5.999999941330714e-10,-29.780000686645508,63.55999565124512,bo_selection
DU-145,bocs_sparse,3,9706,79037,4.999999873689376e-06,3.000000106112566e-06,-58.16999816894531,35.16999816894531,bo_selection
DU-145,combo_diffusion,5,755,719344,1.9999999949504854e-06,1.0000000116860974e-07,1.5199999809265137,94.85999631881714,bo_selection
DU-145,bocs_sparse,5,755,609699,1.999999987845058e-08,1.0000000116860974e-07,1.0399999618530273,94.37999629974365,bo_selection
DU-145,combo_diffusion,4,719276,761432,9.99999993922529e-09,5.000000058430487e-08,-59.93600082397461,33.403995513916016,bo_selection
DU-145,bocs_sparse,4,125066,681239,9.999999974752427e-07,3.000000106112566e-07,-56.58000183105469,36.75999450683594,bo_selection
DU-145,combo_diffusion,6,26980,719627,4.999999987376214e-07,4.999999987376214e-07,0.17000000178813934,93.50999633967876,bo_selection
DU-145,bocs_sparse,6,246131,719627,1.9999999494757503e-05,4.999999987376214e-07,-20.780000686645508,72.55999565124512,bo_selection
DU-145,combo_diffusion,7,66847,754143,9.999999974752427e-07,9.99999993922529e-09,-38.16999816894531,55.16999816894531,bo_selection
DU-145,bocs_sparse,7,241240,754143,1.9999999494757503e-05,9.99999993922529e-09,-93.33999633789062,0.0,bo_selection
DU-145,combo_diffusion,8,9706,613327,4.999999873689376e-06,1.000000013351432e-10,-45.93000030517578,47.409996032714844,bo_selection
DU-145,bocs_sparse,8,9706,754143,4.999999873689376e-06,9.999999717180685e-10,-52.45000076293945,40.88999557495117,bo_selection
DU-145,combo_diffusion,9,1390,9706,9.999999974752427e-07,4.999999873689376e-06,-38.38999938964844,54.94999694824219,bo_selection
DU-145,bocs_sparse,9,241240,754143,1.9999999494757503e-05,9.99999993922529e-09,-93.33999633789062,0.0,bo_selection
HT29,combo_diffusion,1,118218,754230,6.000000212225132e-07,5.999999802552836e-11,11.199999809265137,106.75999736785889,bo_selection
HT29,bocs_sparse,1,755,628503,1.9999999949504854e-06,3.999999886872274e-09,3.5899999141693115,99.14999747276306,bo_selection
HT29,combo_diffusion,0,14229,713563,3.000000106112566e-06,9.99999993922529e-09,0.7179999947547913,96.27799755334854,bo_selection
HT29,bocs_sparse,0,24559,686673,9.999999974752427e-07,1.9999999494757503e-05,4.170000076293945,99.7299976348877,bo_selection
HT29,combo_diffusion,2,752,49842,9.999999747378752e-06,5.000000058430487e-08,1.809999942779541,97.36999750137329,bo_selection
HT29,bocs_sparse,2,752,14229,9.999999747378752e-06,3.000000106112566e-06,1.0729999542236328,96.63299751281738,bo_selection
HT29,combo_diffusion,3,92859,732517,6.000000212225132e-06,9.999999717180685e-10,0.3799999952316284,95.93999755382538,bo_selection
HT29,bocs_sparse,3,92859,702294,6.000000212225132e-06,9.999999747378752e-05,1.2400000095367432,96.7999975681305,bo_selection
HT29,combo_diffusion,4,3088,92859,9.999999747378752e-05,4.999999987376214e-07,22.570999145507812,118.13099670410156,bo_selection
HT29,bocs_sparse,4,92859,698037,4.999999987376214e-07,9.999999974752427e-07,18.17300033569336,113.73299789428711,bo_selection
HT29,combo_diffusion,5,226080,713563,4.999999858590343e-10,9.999999747378752e-05,8.251999855041504,103.81199741363525,bo_selection
HT29,bocs_sparse,5,673596,713563,2.999999892949745e-08,9.999999747378752e-05,4.552999973297119,100.11299753189087,bo_selection
HT29,combo_diffusion,6,18509,266046,9.999999974752427e-07,4.999999873689376e-06,23.969999313354492,119.52999687194824,bo_selection
HT29,bocs_sparse,6,26980,246131,4.999999987376214e-07,1.9999999494757503e-05,10.489999771118164,106.04999732971191,bo_selection
HT29,combo_diffusion,7,82151,737754,2.0000000233721948e-07,9.999999974752427e-07,30.511999130249023,126.07199668884277,bo_selection
HT29,bocs_sparse,7,19893,34462,9.999999747378752e-05,4.999999873689376e-06,9.597999572753906,105.15799713134766,bo_selection
HT29,combo_diffusion,8,92859,754143,6.000000212225132e-06,9.99999993922529e-09,-9.619999885559082,85.93999767303467,bo_selection
HT29,bocs_sparse,8,92859,747599,6.000000212225132e-06,9.99999993922529e-09,0.05999999865889549,95.61999755725265,bo_selection
HT29,combo_diffusion,9,27640,246131,6.999999868639861e-08,1.9999999494757503e-05,3.5999999046325684,99.15999746322632,bo_selection
HT29,bocs_sparse,9,19893,34462,9.999999747378752e-05,4.999999873689376e-06,9.597999572753906,105.15799713134766,bo_selection
OVCAR-8,combo_diffusion,0,740,105014,1.0000000116860974e-07,9.999999974752427e-07,8.029999732971191,101.26000308990479,bo_selection
OVCAR-8,bocs_sparse,0,180973,698037,3.000000106112566e-06,9.999999974752427e-07,11.508999824523926,104.73900318145752,bo_selection
OVCAR-8,combo_diffusion,1,118218,719345,6.000000212225132e-06,4.0000000467443897e-07,8.899999618530273,102.13000297546387,bo_selection
OVCAR-8,bocs_sparse,1,105014,702294,9.999999974752427e-07,9.999999747378752e-06,1.659999966621399,94.89000332355499,bo_selection
OVCAR-8,combo_diffusion,2,19893,757441,9.999999747378752e-05,1.0000000116860974e-07,30.80699920654297,124.03700256347656,bo_selection
OVCAR-8,bocs_sparse,2,127716,715055,9.999999974752427e-07,9.999999747378752e-06,45.29999923706055,138.53000259399414,bo_selection
OVCAR-8,combo_diffusion,3,752,673596,9.999999747378752e-06,2.999999892949745e-08,14.072999954223633,107.30300331115723,bo_selection
OVCAR-8,bocs_sparse,3,8806,279836,9.999999747378752e-06,4.999999987376214e-07,10.845999717712402,104.076003074646,bo_selection
OVCAR-8,combo_diffusion,4,24559,755986,1.0000000116860974e-07,2.499999936844688e-05,-43.00899887084961,50.221004486083984,bo_selection
OVCAR-8,bocs_sparse,4,698037,701852,1.0000000116860974e-07,1.0000000116860974e-07,30.208999633789062,123.43900299072266,bo_selection
OVCAR-8,combo_diffusion,5,740,755,9.99999993922529e-09,1.999999987845058e-08,8.600000381469727,101.83000373840332,bo_selection
OVCAR-8,bocs_sparse,5,752,609699,9.999999747378752e-06,4.999999969612645e-09,26.28700065612793,119.51700401306152,bo_selection
OVCAR-8,combo_diffusion,6,24559,369100,9.999999974752427e-07,7.000000135093387e-09,-21.829999923706055,71.40000343322754,bo_selection
OVCAR-8,bocs_sparse,6,125973,749226,5.99999978589949e-08,4.999999873689376e-06,-16.78499984741211,76.44500350952148,bo_selection
OVCAR-8,combo_diffusion,7,3088,606869,9.999999974752427e-07,9.999999974752427e-07,11.82800006866455,105.05800342559814,bo_selection
OVCAR-8,bocs_sparse,7,606869,713563,9.999999974752427e-07,9.999999747378752e-05,-65.0770034790039,28.152999877929688,bo_selection
OVCAR-8,combo_diffusion,8,1390,713563,0.00019999999494757503,9.999999747378752e-05,-43.05500030517578,50.17500305175781,bo_selection
OVCAR-8,bocs_sparse,8,606869,713563,9.999999974752427e-07,9.999999747378752e-05,-65.0770034790039,28.152999877929688,bo_selection
