cell_line,pool_n,optimum,near_opt_density
MCF7,47775,-76.4800033569336,2.0931449502878075e-05
NCI/ADR-RES,47892,-91.12999725341797,4.176062807984632e-05
NCI-H322M,47091,-89.36000061035156,4.247096048077127e-05
EKVX,45846,-93.97000122070312,4.3624307464119006e-05
MDA-MB-231/ATCC,47694,-99.01000213623047,6.29009938357026e-05
A549/ATCC,47262,-98.44000244140625,8.463459015699717e-05
KM12,47244,-97.5,8.466683600033866e-05
SK-OV-3,47649,-92.43000030517578,0.00010493399651619132
HCT-116,47253,-100.0,0.00010581338750978774
NCI-H226,47406,-95.38999938964844,0.00018984938615365145
DU-145,47442,-94.06999969482422,0.0002107836937734497
786-0,47217,-95.83000183105469,0.00021178812715759156
HCT-15,47730,-86.04000091552734,0.000251414204902577
TK-10,47514,-96.38999938964844,0.0002525571410531633
SW-620,47802,-98.52999877929688,0.00027195514832015395
ACHN,47802,-94.55000305175781,0.00029287477511401197
SNB-19,47667,-91.51000213623047,0.0002937042398304907
HT29,47505,-96.76000213623047,0.0003368066519313756
CAKI-1,47091,-89.5999984741211,0.0003610031640865558
SF-268,47721,-97.4800033569336,0.00037719243100521783
MDA-MB-435,46578,-98.69999694824219,0.0003864485379363648
OVCAR-5,47757,-97.68000030517578,0.00041878677471365454
LOX IMVI,45291,-97.90499877929688,0.0004195093948024994
SN12C,47505,-96.44999694824219,0.00042100831491421954
OVCAR-8,47406,-97.83999633789062,0.0004640762772644813
HOP-62,46191,-93.5,0.0004762832586434587
K-562,46875,-98.72000122070312,0.000512
IGROV1,47361,-98.41999816894531,0.0005700893139925255
SF-295,46101,-95.12000274658203,0.0006290535997049956
A498,47532,-96.41300201416016,0.0007363460405621476
SNB-75,45552,-98.69999694824219,0.0007683526519142958
U251,47514,-95.12999725341797,0.0007997642800016837
NCI-H460,47091,-97.05999755859375,0.0008494192096154254
PC-3,47415,-93.51000213623047,0.0011177897289887167
HCC-2998,46398,-98.51899719238281,0.0013147118410276304
OVCAR-3,46011,-99.37699890136719,0.0014127056573428093
UO-31,46830,-95.95999908447266,0.0014947683109118087
T-47D,46956,-96.73999786376953,0.0015759434364085527
HOP-92,46362,-95.95999908447266,0.0015961347655407446
COLO 205,47010,-98.6500015258789,0.0017655817911082748
BT-549,47217,-99.0199966430664,0.002054344833428638
SK-MEL-2,31305,-97.77999877929688,0.0023638396422296756
MDA-MB-468,47145,-98.05999755859375,0.002502916534096935
OVCAR-4,47064,-96.68000030517578,0.0025497195308516064
M14,47136,-98.66999816894531,0.002630685675492193
NCI-H23,47667,-97.1500015258789,0.002643338158474416
HS 578T,47028,-97.2300033569336,0.0027855745513311217
SK-MEL-28,47667,-98.18000030517578,0.003209767763861791
SF-539,46695,-98.91000366210938,0.0032123353678123997
UACC-62,47307,-99.63999938964844,0.004608197518337667
NCI-H522,46461,-99.27999877929688,0.005316286778158025
MALME-3M,47124,-99.80000305175781,0.0059417706476530005
UACC-257,47595,-97.36000061035156,0.006786427145708583
RXF 393,46461,-98.26000213623047,0.007769957598846344
SK-MEL-5,47208,-99.73999786376953,0.010252499576342992
RPMI-8226,45642,-99.51000213623047,0.012313220279567065
HL-60(TB),44454,-99.80999755859375,0.01498177891753273
CCRF-CEM,46443,-99.79000091552734,0.017246947871584522
SR,46245,-99.37999725341797,0.0346415828738242
MOLT-4,45885,-99.94999694824219,0.0676255857033889
