readout,spearman_vs_invitro,p,n,abs_rho
kg_biexp,0.0036465985583423546,0.9458033158847617,350,0.0036465985583423546
residual_core_burden,0.05833141097849781,0.27646100638631377,350,0.05833141097849781
core_sparing,-0.14260938184367744,0.007537734327748338,350,0.14260938184367744
hypoxic_fraction,0.37147782402496227,6.793696138099018e-13,350,0.37147782402496227
ttg_biexp,0.4301239971201786,3.4099408618490376e-17,350,0.4301239971201786
ets_early,-0.5360906210426644,1.970035983996991e-27,350,0.5360906210426644
log_kill_nadir,-0.5377337116598478,1.2759586594584891e-27,350,0.5377337116598478
depth_of_response,-0.5377337116598478,1.2759586594584891e-27,350,0.5377337116598478
nadir_burden,0.5377337116598478,1.2759586594584891e-27,350,0.5377337116598478
log_kill_auc,-0.5478954785596651,8.239450987929631e-29,350,0.5478954785596651
