setting,core_sparing,depth_of_response,hypoxic_fraction,kg_regrowth,log_kill_auc,log_kill_nadir,nadir_burden,residual_core_burden
diffusivity_high,-0.052631578947368425,1.0,0.9999999999999999,0.36842105263157904,0.8947368421052632,0.36842105263157904,1.0,1.0
diffusivity_low,1.0,0.8947368421052632,0.9176629354822471,1.0,1.0,1.0,0.8947368421052632,0.6842105263157895
oxygen_high,-0.052631578947368425,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
oxygen_low,0.6842105263157895,1.0,0.9176629354822471,1.0,1.0,0.6842105263157895,1.0,0.6842105263157895
phi_strong,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0
phi_weak,1.0,1.0,0.9999999999999999,0.6842105263157895,1.0,0.6842105263157895,1.0,1.0
radius_large,-0.15789473684210528,0.8947368421052632,0.9999999999999999,1.0,1.0,1.0,0.8947368421052632,1.0
radius_small,0.6842105263157895,1.0,,0.6842105263157895,0.8947368421052632,0.36842105263157904,1.0,
rho_high,1.0,0.8947368421052632,,1.0,1.0,1.0,0.8947368421052632,1.0
rho_low,0.8947368421052632,1.0,0.9176629354822471,0.6842105263157895,1.0,0.6842105263157895,1.0,0.6842105263157895
schedule_bolus,-0.052631578947368425,1.0,0.24999999999999997,0.052631578947368425,0.8947368421052632,0.052631578947368425,1.0,0.052631578947368425
schedule_q2d,1.0,1.0,0.9999999999999999,0.6842105263157895,1.0,0.6842105263157895,1.0,1.0
