readout,spearman_vs_invitro_pooled,p_pooled,spearman_within_cellline_mean,spearman_within_cellline_sd,n_celllines,n_obs,abs_rho
penetration_depth_drug2,0.02636412936827501,0.11072885247161977,-0.026161610632764298,0.21773524012798384,34,3661,0.02636412936827501
kg_biexp,0.047442636878334915,0.004089037281201911,0.03889923713412357,0.3638163190437832,60,3661,0.047442636878334915
penetration_depth_drug1,-0.048501018440853985,0.00333185027407618,-0.03296180798508557,0.21229523239537298,38,3661,0.048501018440853985
kill_fraction_core,0.07436137747079556,6.667856191988121e-06,0.05822615958817936,0.4350292025237227,60,3661,0.07436137747079556
core_sparing,-0.0987065731264414,2.1647000071250763e-09,-0.06937700966383469,0.4252011322257214,60,3661,0.0987065731264414
core_to_surface_ratio_drug1,-0.1719826814156339,1.0601816554737902e-25,-0.1290707744694888,0.30379873690918274,60,3661,0.1719826814156339
core_to_surface_ratio_drug2,-0.18575729494363258,8.862728931894819e-30,-0.11625815278185105,0.3347722397268715,60,3661,0.18575729494363258
residual_core_burden,0.20277026829576086,2.82950645921415e-35,0.17967159486230236,0.3671479648830308,60,3661,0.20277026829576086
hypoxic_fraction,0.37375351347130864,9.922615579031586e-122,0.32790315919294993,0.31554184004700864,60,3661,0.37375351347130864
viable_rim_thickness,-0.37375351347130864,9.922615579031586e-122,-0.32790315919294993,0.31554184004700864,60,3661,0.37375351347130864
ttg_biexp,0.40083132735626414,2.267930318314621e-141,0.3578651146518561,0.30011602819986866,60,3661,0.40083132735626414
kill_fraction_rim,-0.4486664889234516,7.536625826570152e-181,-0.39347596154697,0.3042212204407521,60,3661,0.4486664889234516
log_kill_auc,-0.45512355907710206,1.107158937257882e-186,-0.4003218665786999,0.29844802948583654,60,3661,0.45512355907710206
ets_early,-0.45734611949033194,1.0166748026894353e-188,-0.4036634946961109,0.29664868124395904,60,3661,0.45734611949033194
nadir_burden,0.4602549221230204,2.0809790185883433e-191,0.4097180087667162,0.29659147782519607,60,3661,0.4602549221230204
depth_of_response,-0.4602549221230204,2.0809790185883433e-191,-0.4097180087667162,0.29659147782519607,60,3661,0.4602549221230204
log_kill_nadir,-0.4602581581489916,2.066625324961922e-191,-0.4097180087667162,0.29659147782519607,60,3661,0.4602581581489916
