dataset,cell_line,row_kind,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,final_regret,pool_optimum_percent_growth,chose_pool_optimum,best_step,n_replicates,pool_index,source_pool_index,pool_size,pool_size_full,n_init,n_iter,regret,drug1_name,drug2_name,drug1_moa,drug2_moa,has_fit_drug1,has_fit_drug2,burden_initial,burden_final,burden_ratio_final,nadir_burden,time_to_nadir,depth_of_response,kg_regrowth,time_to_regrowth,log_kill,log_kill_nadir,burden_auc_ratio,log_kill_auc,growth_delay,kg_biexp,ks_biexp,ttg_biexp,biexp_r2,ets_early,t_early,hypoxic_fraction,necrotic_fraction,viable_rim_thickness,auc_surface_drug1,auc_core_drug1,core_to_surface_ratio_drug1,penetration_depth_drug1,auc_surface_drug2,auc_core_drug2,core_to_surface_ratio_drug2,penetration_depth_drug2,kill_fraction_core,kill_fraction_rim,core_sparing,residual_core_burden,solver_success,n_drugs_simulated,sim_ok,sim_message,wall_s
almanac,786-0,bo_selection,act_hamming+zero,0,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27.0,1.0,24.0,177.0,4000.0,46283.0,10.0,20.0,,NSC740,vinblastine,other,antimitotic,True,True,241279087.64641002,244432507.71545798,1.0130695954622857,0.33060098206625876,4.6000000000000005,0.6693990179337412,0.05389016223324409,10.399999999999999,-0.0002226216159745501,0.4918664693558748,0.7772914167683816,0.10941612795990567,,0.040549255688247986,0.22797355442288356,6.430411655356985,0.37411465707609126,0.6394890218316014,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,50.49665496032358,33.043929513657226,0.6543785828907008,400.0,0.00934063776147184,0.004015786990393422,0.42992642397050196,400.0,-0.07444759429372994,0.0009090815515032658,0.0753566758452332,0.14314805898777522,1.0,2,True,The solver successfully reached the end of the integration interval.,1.787
almanac,786-0,bo_selection,act_hamming+zero,1,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27.0,1.0,24.0,177.0,4000.0,46283.0,10.0,20.0,,NSC740,vinblastine,other,antimitotic,True,True,241279087.64641002,244432507.71545798,1.0130695954622857,0.33060098206625876,4.6000000000000005,0.6693990179337412,0.05389016223324409,10.399999999999999,-0.0002226216159745501,0.4918664693558748,0.7772914167683816,0.10941612795990567,,0.040549255688247986,0.22797355442288356,6.430411655356985,0.37411465707609126,0.6394890218316014,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,50.49665496032358,33.043929513657226,0.6543785828907008,400.0,0.00934063776147184,0.004015786990393422,0.42992642397050196,400.0,-0.07444759429372994,0.0009090815515032658,0.0753566758452332,0.14314805898777522,1.0,2,True,The solver successfully reached the end of the integration interval.,1.787
almanac,786-0,bo_selection,act_hamming+zero,2,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27.0,1.0,24.0,177.0,4000.0,46283.0,10.0,20.0,,NSC740,vinblastine,other,antimitotic,True,True,241279087.64641002,244432507.71545798,1.0130695954622857,0.33060098206625876,4.6000000000000005,0.6693990179337412,0.05389016223324409,10.399999999999999,-0.0002226216159745501,0.4918664693558748,0.7772914167683816,0.10941612795990567,,0.040549255688247986,0.22797355442288356,6.430411655356985,0.37411465707609126,0.6394890218316014,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,50.49665496032358,33.043929513657226,0.6543785828907008,400.0,0.00934063776147184,0.004015786990393422,0.42992642397050196,400.0,-0.07444759429372994,0.0009090815515032658,0.0753566758452332,0.14314805898777522,1.0,2,True,The solver successfully reached the end of the integration interval.,1.787
almanac,786-0,bo_selection,act_hamming+zero,3,92859,241240,6.000000212225132e-06,1.9999999949504854e-06,-29.440000534057617,59.76999855041504,-89.20999908447266,False,9.0,1.0,2253.0,25801.0,4000.0,46283.0,10.0,20.0,,dromostanolone,carboplatin,hormonal,platinum,True,True,241279087.64641002,226555451.45278874,0.9389767412615614,0.005196140508757473,5.2,0.9948038594912425,0.364729959100382,,0.032761824969670755,2.2951180779693283,0.2836980646986678,0.5471436268180221,,0.025459690942590558,1.5500919218969422,2.6079583969219584,0.7226756257289519,0.9947919734039787,5.25,0.16100295577458196,0.02665831790641154,183.64779874213838,19.958716610083833,13.264515621915352,0.6645976232366394,400.0,0.015311150422437947,0.010104003517702808,0.6599114526950078,400.0,-0.3573420347741616,0.061302852054450074,0.4186448868286117,0.09544580156475786,1.0,2,True,The solver successfully reached the end of the integration interval.,7.283
almanac,786-0,bo_selection,act_hamming+zero,4,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27.0,1.0,24.0,177.0,4000.0,46283.0,10.0,20.0,,NSC740,vinblastine,other,antimitotic,True,True,241279087.64641002,244432507.71545798,1.0130695954622857,0.33060098206625876,4.6000000000000005,0.6693990179337412,0.05389016223324409,10.399999999999999,-0.0002226216159745501,0.4918664693558748,0.7772914167683816,0.10941612795990567,,0.040549255688247986,0.22797355442288356,6.430411655356985,0.37411465707609126,0.6394890218316014,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,50.49665496032358,33.043929513657226,0.6543785828907008,400.0,0.00934063776147184,0.004015786990393422,0.42992642397050196,400.0,-0.07444759429372994,0.0009090815515032658,0.0753566758452332,0.14314805898777522,1.0,2,True,The solver successfully reached the end of the integration interval.,1.787
almanac,786-0,bo_selection,act_hamming+zero,5,119875,719627,1.9999999494757503e-05,4.999999987376214e-07,-54.970001220703125,34.23999786376953,-89.20999908447266,False,4.0,1.0,2512.0,28933.0,4000.0,46283.0,10.0,20.0,,cisplatin,letrozole,platinum,hormonal,True,True,241279087.64641002,244660173.15714243,1.0140131726446484,0.14104020695273162,4.4,0.8589597930472683,0.09208375965200248,11.200000000000001,-0.0006269370189711525,0.8619297646559925,0.6901484051270377,0.1610575112951528,,0.0413483628945481,0.7546084441844754,3.648647945035961,0.6958627244166831,0.7973710598139775,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,3.8120958458804584,2.513081890974447,0.6592389049425945,400.0,0.028876607715256,0.01863558187811437,0.6453521847813474,400.0,-0.10266625679254893,0.0015832897129551826,0.10424954650550411,0.14449181514638607,1.0,2,True,The solver successfully reached the end of the integration interval.,6.938
almanac,786-0,bo_selection,act_hamming+zero,6,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27.0,1.0,24.0,177.0,4000.0,46283.0,10.0,20.0,,NSC740,vinblastine,other,antimitotic,True,True,241279087.64641002,244432507.71545798,1.0130695954622857,0.33060098206625876,4.6000000000000005,0.6693990179337412,0.05389016223324409,10.399999999999999,-0.0002226216159745501,0.4918664693558748,0.7772914167683816,0.10941612795990567,,0.040549255688247986,0.22797355442288356,6.430411655356985,0.37411465707609126,0.6394890218316014,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,50.49665496032358,33.043929513657226,0.6543785828907008,400.0,0.00934063776147184,0.004015786990393422,0.42992642397050196,400.0,-0.07444759429372994,0.0009090815515032658,0.0753566758452332,0.14314805898777522,1.0,2,True,The solver successfully reached the end of the integration interval.,1.787
almanac,786-0,bo_selection,act_hamming+zero,7,26271,246131,9.999999974752427e-07,1.9999999494757503e-05,-56.7599983215332,32.45000076293945,-89.20999908447266,False,2.0,1.0,1234.0,14267.0,4000.0,46283.0,10.0,20.0,,cyclophosphamide,mitoxantrone,alkylator,dna_intercalator,True,True,241279087.64641002,244379213.4361266,1.012848713164316,0.7652832367191398,4.4,0.23471676328086022,0.011543762930275715,6.4,-0.00012792089370950225,0.12745050084767445,0.9324081863963508,0.030393922097884864,,0.025749555790552117,0.046040237639283874,8.09444269933375,0.07660849748654208,0.18724803005411772,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,189.999999999216,126.62148043581243,0.6664288444017628,400.0,2.3725560846115368,0.5896379597201508,0.24852435040189716,148.2514196375002,-0.01061315210820113,0.000130584143958834,0.010743736252159963,0.1420551762297482,1.0,2,True,The solver successfully reached the end of the integration interval.,15.121
almanac,786-0,bo_selection,act_hamming+zero,8,740,49842,1.0000000116860974e-07,2.999999970665357e-10,-28.079999923706055,61.1299991607666,-89.20999908447266,False,27.0,1.0,24.0,177.0,4000.0,46283.0,10.0,20.0,,NSC740,vinblastine,other,antimitotic,True,True,241279087.64641002,244432507.71545798,1.0130695954622857,0.33060098206625876,4.6000000000000005,0.6693990179337412,0.05389016223324409,10.399999999999999,-0.0002226216159745501,0.4918664693558748,0.7772914167683816,0.10941612795990567,,0.040549255688247986,0.22797355442288356,6.430411655356985,0.37411465707609126,0.6394890218316014,5.25,0.20333982750456273,0.060731260348103,166.03773584905662,50.49665496032358,33.043929513657226,0.6543785828907008,400.0,0.00934063776147184,0.004015786990393422,0.42992642397050196,400.0,-0.07444759429372994,0.0009090815515032658,0.0753566758452332,0.14314805898777522,1.0,2,True,The solver successfully reached the end of the integration interval.,1.787
almanac,786-0,bo_selection,act_hamming+zero,9,681239,754143,3.000000106112566e-07,1.000000013351432e-10,-50.65999984741211,38.54999923706055,-89.20999908447266,False,7.0,1.0,3576.0,41153.0,4000.0,46283.0,10.0,20.0,,bortezomib,bendamustine,proteasome,alkylator,True,True,241279087.64641002,239774065.53372985,0.9937623184530366,0.022343797970141778,4.6000000000000005,0.9776562020298583,0.22893871812040423,,0.008134134648975935,1.6620136128123502,0.45352423542922904,0.3433995001541619,,0.03444831947631641,1.304739261589692,2.713808234849819,0.8895206384196175,0.9714956391589396,5.25,0.190568164729299,0.04729015437121408,171.0691823899371,8.689507985438254,5.525659941009145,0.6359002086503589,400.0,0.016594340703402155,0.010924356469979489,0.658318198067356,400.0,-0.14281190043178582,0.01237006829618681,0.15518196872797263,0.12501924744706003,1.0,2,True,The solver successfully reached the end of the integration interval.,3.986
