cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,regret,drug1_name,drug2_name,drug1_moa,drug2_moa,burden_initial,burden_final,burden_ratio_final,nadir_burden,time_to_nadir,depth_of_response,kg_regrowth,time_to_regrowth,log_kill,log_kill_nadir,burden_auc_ratio,log_kill_auc,growth_delay,kg_biexp,ks_biexp,ttg_biexp,biexp_r2,ets_early,t_early,hypoxic_fraction,necrotic_fraction,viable_rim_thickness,auc_surface_drug1,auc_core_drug1,core_to_surface_ratio_drug1,penetration_depth_drug1,auc_surface_drug2,auc_core_drug2,core_to_surface_ratio_drug2,penetration_depth_drug2,kill_fraction_core,kill_fraction_rim,core_sparing,residual_core_burden,solver_success,n_drugs_simulated,sim_ok,sim_message,wall_s,sweep
BT-549,linear_curve,8,67574,246131,1.0000000116860974e-07,1.9999999494757503e-05,-89.91000366210938,,vincristine,mitoxantrone,antimitotic,dna_intercalator,,,241279087.64641,219335370.5472417,0.9090525527379048,0.003906550512638,4.6000000000000005,0.996093449487362,0.352937120858462,,0.0468276690555789,2.4193771644720115,0.2930051480438531,0.5331247491086998,,0.0253022548361433,1.2419823811357071,3.0723725754044504,0.7469347651314403,0.995068433331864,5.25,0.1249925835096809,0.0,201.25786163522017,11.374212191331845,6.822910980175829,0.599857894806595,400.0,11.704019281956482,6.881078147010438,0.587924368649893,400.0,0.4553237284366765,0.0531958665775272,-0.4021278618591493,0.04304800952188,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.559,default
BT-549,ours+zero,8,125973,681239,2.999999892949745e-08,3.000000106112566e-07,-95.31999969482422,,paclitaxel,bortezomib,antimitotic,proteasome,,,241279087.64641,232176862.4941612,0.9622751178270867,0.0110698290111166,5.0,0.9889301709888834,0.3090295130265384,,0.0221174036583627,1.9667908142326125,0.3419555152643265,0.466030387311717,,0.0287646321771652,1.3219575331047906,2.8338339386105744,0.7900065696687582,0.9887773548309544,5.25,0.1724312542656479,0.030169722882606,178.61635220125788,1.7676312857947352,1.0491702884001757,0.5935458920826149,400.0,5.224603901442932,3.2952204471708697,0.6307120136439042,400.0,-0.2240595540381478,0.0357342634878409,0.2597938175259887,0.103376980806211,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.566,default
BT-549,random,8,105014,628503,9.999999974752427e-07,3.999999886872274e-09,13.720000267028809,,cladribine,NSC628503,antimetabolite,other,,,241279087.64641,244551428.82861888,1.0135624732923576,0.4595576570595937,4.4,0.5404423429404063,0.0345984753263935,8.6,-0.000433862846559,0.3489326945721175,0.841131784392065,0.0751359557472366,,0.0365885564179565,0.115273202355094,7.55667172234768,0.1709854915083861,0.4773093650460203,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.5180599034675787,0.3375631279624452,0.651590917774185,400.0,1.0679288136544656,0.6462629500623915,0.6051554577414873,400.0,-0.0540320077907106,0.0004384947497901,0.0544705025405007,0.143069006468216,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.713,default
BT-549,hamming+zero,8,750,105014,4.999999873689376e-05,1.0000000116860974e-07,32.560001373291016,,NSC750,cladribine,other,antimetabolite,,,241279087.64641,244411151.4916689,1.0129810829268755,0.799300963499535,4.4,0.2006990365004649,0.0089002000938566,5.6,-0.000184675372929,0.1085623647208801,0.9448396057953626,0.0246419102528551,,0.0233096909351034,0.0382035506933165,8.031754696033602,0.0649933178342904,0.1512946970097517,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,4.128523645071777,2.5206085600620707,0.6105350911750073,400.0,0.0518059910829652,0.0334510334926457,0.6456981672076347,400.0,-0.017505552434663,9.644483251136649e-05,0.0176019972671743,0.1421740366252138,1.0,"2,True,The solver successfully reached the end of the integration interval.",4.247,default
BT-549,act_hamming+zero,8,750,105014,4.999999873689376e-05,1.0000000116860974e-07,32.560001373291016,,NSC750,cladribine,other,antimetabolite,,,241279087.64641,244411151.4916689,1.0129810829268755,0.799300963499535,4.4,0.2006990365004649,0.0089002000938566,5.6,-0.000184675372929,0.1085623647208801,0.9448396057953626,0.0246419102528551,,0.0233096909351034,0.0382035506933165,8.031754696033602,0.0649933178342904,0.1512946970097517,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,4.128523645071777,2.5206085600620707,0.6105350911750073,400.0,0.0518059910829652,0.0334510334926457,0.6456981672076347,400.0,-0.017505552434663,9.644483251136649e-05,0.0176019972671743,0.1421740366252138,1.0,"2,True,The solver successfully reached the end of the integration interval.",4.408,default
HCT-15,act_hamming+zero,2,740,762,1.0000000116860974e-07,4.999999987376214e-07,-7.039999961853027,,NSC740,mechlorethamine,other,alkylator,,,241279087.64641,244453830.7171091,1.013157970305954,0.3848356411766129,4.6000000000000005,0.615164358823387,0.0414746489671144,9.4,-0.0002605055216295,0.4258953216988256,0.810161366763338,0.0914284703619287,,0.0387509370381624,0.1535286496602271,7.160054163065485,0.2338788857083515,0.552521826753267,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,11.084599787238917,7.10231745152091,0.6407373823002084,400.0,0.0249483530145913,0.0161444982688402,0.6471167960224841,400.0,-0.0563369335249508,0.0006041376730374,0.0569410711979883,0.1428892878525138,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.783,default
HCT-15,linear_curve,2,681239,754230,3.000000106112566e-07,9.999999960041972e-13,-75.93000030517578,,bortezomib,romidepsin,proteasome,hdac_inhibitor,,,241279087.64641,243902654.01997983,1.0108735754895368,0.1042648210159004,4.800000000000001,0.8957351789840995,0.1325073266340571,13.4,0.0007198156463597,0.9929184354513368,0.6075448791773775,0.2164216353277072,,0.0391780480953939,0.8162968381871005,3.5496792686999146,0.8755096163746909,0.8886436454053966,5.25,0.1968849621189929,0.0578624312878497,168.55345911949686,2.756535066484806,1.6553314959916012,0.6005116771841094,400.0,0.001923121509994,0.0012195242403006,0.6341379023442065,400.0,-0.1532008227134424,0.0038327958942887,0.1570336186077312,0.1377427401179962,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.551,default
HCT-15,hamming+zero,2,740,762,1.0000000116860974e-07,4.999999987376214e-07,-7.039999961853027,,NSC740,mechlorethamine,other,alkylator,,,241279087.64641,244453830.7171091,1.013157970305954,0.3848356411766129,4.6000000000000005,0.615164358823387,0.0414746489671144,9.4,-0.0002605055216295,0.4258953216988256,0.810161366763338,0.0914284703619287,,0.0387509370381624,0.1535286496602271,7.160054163065485,0.2338788857083515,0.552521826753267,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,11.084599787238917,7.10231745152091,0.6407373823002084,400.0,0.0249483530145913,0.0161444982688402,0.6471167960224841,400.0,-0.0563369335249508,0.0006041376730374,0.0569410711979883,0.1428892878525138,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.77,default
BT-549,tanimoto+zero,8,750,105014,4.999999873689376e-05,1.0000000116860974e-07,32.560001373291016,,NSC750,cladribine,other,antimetabolite,,,241279087.64641,244411151.4916689,1.0129810829268755,0.799300963499535,4.4,0.2006990365004649,0.0089002000938566,5.6,-0.000184675372929,0.1085623647208801,0.9448396057953626,0.0246419102528551,,0.0233096909351034,0.0382035506933165,8.031754696033602,0.0649933178342904,0.1512946970097517,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,4.128523645071777,2.5206085600620707,0.6105350911750073,400.0,0.0518059910829652,0.0334510334926457,0.6456981672076347,400.0,-0.017505552434663,9.644483251136649e-05,0.0176019972671743,0.1421740366252138,1.0,"2,True,The solver successfully reached the end of the integration interval.",4.467,default
HCT-15,tanimoto+zero,2,681239,754230,3.000000106112566e-07,9.999999960041972e-13,-75.93000030517578,,bortezomib,romidepsin,proteasome,hdac_inhibitor,,,241279087.64641,243902654.01997983,1.0108735754895368,0.1042648210159004,4.800000000000001,0.8957351789840995,0.1325073266340571,13.4,0.0007198156463597,0.9929184354513368,0.6075448791773775,0.2164216353277072,,0.0391780480953939,0.8162968381871005,3.5496792686999146,0.8755096163746909,0.8886436454053966,5.25,0.1968849621189929,0.0578624312878497,168.55345911949686,2.756535066484806,1.6553314959916012,0.6005116771841094,400.0,0.001923121509994,0.0012195242403006,0.6341379023442065,400.0,-0.1532008227134424,0.0038327958942887,0.1570336186077312,0.1377427401179962,1.0,"2,True,The solver successfully reached the end of the integration interval.",1.534,default
HS 578T,act_hamming+zero,2,1390,747973,9.999999747378752e-06,3.000000106112566e-07,-74.66000366210938,,NSC1390,vorinostat,other,hdac_inhibitor,,,241279087.64641,230147378.594517,0.9538637634928132,0.0095997698157661,4.4,0.9904002301842338,0.2834582719767919,,0.025930309155822,2.0290118815934735,0.3592512090996375,0.4446017615252134,,0.0302235659358514,1.994711062211405,2.0690211330982273,0.8436327583724135,0.9863214758378648,5.25,0.1666518025896331,0.0,181.13207547169813,0.4647546002912271,0.3018707905187482,0.64952727811535,400.0,20.643580204271405,13.628775623205993,0.6601943794800689,400.0,0.4077760140018166,0.0244752923150168,-0.3833007216867997,0.0812862681968166,1.0,"2,True,The solver successfully reached the end of the integration interval.",4.249,default
HS 578T,hamming+zero,2,1390,747973,9.999999747378752e-06,3.000000106112566e-07,-74.66000366210938,,NSC1390,vorinostat,other,hdac_inhibitor,,,241279087.64641,230147378.594517,0.9538637634928132,0.0095997698157661,4.4,0.9904002301842338,0.2834582719767919,,0.025930309155822,2.0290118815934735,0.3592512090996375,0.4446017615252134,,0.0302235659358514,1.994711062211405,2.0690211330982273,0.8436327583724135,0.9863214758378648,5.25,0.1666518025896331,0.0,181.13207547169813,0.4647546002912271,0.3018707905187482,0.64952727811535,400.0,20.643580204271405,13.628775623205993,0.6601943794800689,400.0,0.4077760140018166,0.0244752923150168,-0.3833007216867997,0.0812862681968166,1.0,"2,True,The solver successfully reached the end of the integration interval.",4.18,default
