cell_line,method,seed,nsc1,nsc2,conc1_M,conc2_M,percent_growth,regret,drug1_name,drug2_name,drug1_moa,drug2_moa,burden_initial,burden_final,burden_ratio_final,nadir_burden,time_to_nadir,depth_of_response,kg_regrowth,time_to_regrowth,log_kill,log_kill_nadir,burden_auc_ratio,log_kill_auc,growth_delay,kg_biexp,ks_biexp,ttg_biexp,biexp_r2,ets_early,t_early,hypoxic_fraction,necrotic_fraction,viable_rim_thickness,auc_surface_drug1,auc_core_drug1,core_to_surface_ratio_drug1,penetration_depth_drug1,auc_surface_drug2,auc_core_drug2,core_to_surface_ratio_drug2,penetration_depth_drug2,kill_fraction_core,kill_fraction_rim,core_sparing,residual_core_burden,solver_success,n_drugs_simulated,sim_ok,sim_message,wall_s,has_fit_drug1,has_fit_drug2,setting
DU-145,no_treatment,-1,-1,-1,0.0,0.0,,,,,,,241279087.64641,244307242.44601148,1.012550423781605,1.0,0.0,0.0,-0.0005289501584925,0.0,0.0,0.0,1.0,0.0,,0.001098475822591,6.230461558811701e-22,0.0,-4.4497688561597695,-0.0250950517930392,5.25,0.2033398275045627,0.0578624312878497,166.03773584905662,,,,,,,,,0.0,0.0,0.0,0.1416738683806418,1.0,0,True,The solver successfully reached the end of the integration interval.,0.173,,,default
DU-145,ours+zero,7,67574,754143,1.0000000116860974e-07,9.99999993922529e-09,-66.76000213623047,,vincristine,bendamustine,antimitotic,alkylator,241279087.64641,235804875.0107575,0.97731169870936,0.0129404074551063,4.4,0.9870595925448936,0.2616104852278986,,0.0153835623286006,1.899324750006681,0.3984300808311459,0.399647880474714,,0.0323259775849444,1.9163829883468184,2.0948862723359403,0.8658018458808453,0.9810298473435336,5.25,0.1843879427084984,0.0320355066106583,173.58490566037736,10.501821987414438,6.694908627082143,0.6374997248196966,400.0,15.711282702554875,10.469733772602847,0.6663831318432277,400.0,0.0479524005039324,0.0177546514247914,-0.0301977490791409,0.1100463577448434,1.0,2,True,The solver successfully reached the end of the integration interval.,3.827,True,True,default
DU-145,act_hamming+zero,7,740,9706,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,,NSC740,triethylenemelamine,other,alkylator,241279087.64641,237085589.93438035,0.982619721613938,0.0107962831162313,4.4,0.9892037168837686,0.2796872217289024,,0.0130311833937993,1.9779984364505052,0.3895347825694593,0.4094537569810417,,0.0320347053252085,1.9017117085947677,2.111802133377051,0.8468404728934176,0.984777798643742,5.25,0.1843879427084984,0.0402673444188251,173.58490566037736,1.4550478895615448,0.94658216030965,0.6505505194024144,400.0,9.924387754952315,6.607853768681455,0.6658197897783775,400.0,-0.1231850960679441,0.0197959903696773,0.1429810864376215,0.1162661226958795,1.0,2,True,The solver successfully reached the end of the integration interval.,9.249,True,True,default
DU-145,hamming+zero,7,740,9706,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,,NSC740,triethylenemelamine,other,alkylator,241279087.64641,237085589.93438035,0.982619721613938,0.0107962831162313,4.4,0.9892037168837686,0.2796872217289024,,0.0130311833937993,1.9779984364505052,0.3895347825694593,0.4094537569810417,,0.0320347053252085,1.9017117085947677,2.111802133377051,0.8468404728934176,0.984777798643742,5.25,0.1843879427084984,0.0402673444188251,173.58490566037736,1.4550478895615448,0.94658216030965,0.6505505194024144,400.0,9.924387754952315,6.607853768681455,0.6658197897783775,400.0,-0.1231850960679441,0.0197959903696773,0.1429810864376215,0.1162661226958795,1.0,2,True,The solver successfully reached the end of the integration interval.,9.355,True,True,default
MDA-MB-231/ATCC,no_treatment,-1,-1,-1,0.0,0.0,,,,,,,241279087.64641,244307242.44601148,1.012550423781605,1.0,0.0,0.0,-0.0005289501584925,0.0,0.0,0.0,1.0,0.0,,0.001098475822591,6.230461558811701e-22,0.0,-4.4497688561597695,-0.0250950517930392,5.25,0.2033398275045627,0.0578624312878497,166.03773584905662,,,,,,,,,0.0,0.0,0.0,0.1416738683806418,1.0,0,True,The solver successfully reached the end of the integration interval.,0.152,,,default
DU-145,random,7,66847,754143,9.999999974752427e-07,9.99999993922529e-09,-38.16999816894531,,thalidomide,bendamustine,other,alkylator,241279087.64641,235664356.91726428,0.9767293105096037,0.0130615267799353,4.4,0.9869384732200646,0.2643607280385961,,0.015642439176912,1.895278756012562,0.3939069721811721,0.4046063320798859,,0.0321077641638632,1.912345311243832,2.1018701124531085,0.8610388580474153,0.9813279084026733,5.25,0.1843879427084984,0.0320355066106583,173.58490566037736,1899.9999729811136,1255.0452866104624,0.6605501602409432,400.0,15.711282702554875,10.469878365869606,0.6663923349916591,400.0,0.0333927684702506,0.0186032200821373,-0.0147895483881133,0.1103000470019044,1.0,2,True,The solver successfully reached the end of the integration interval.,8.513,True,True,default
MDA-MB-231/ATCC,act_hamming+zero,2,740,24559,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,,NSC740,NSC24559,other,other,241279087.64641,244526370.85264963,1.0134586185562773,0.5551191953757303,4.4,0.4448808046242697,0.0239980859088241,7.6,-0.0003893605579345,0.2668864562124158,0.8761376668510292,0.0574276481055735,,0.0332313275283831,0.0827978526075988,7.867926792467951,0.0928461923617637,0.3544306596493041,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.0018356311089325,0.0010675102494689,0.5815494432809682,400.0,2.464070125116591,1.4868841374663146,0.6034260641814976,400.0,-0.0296826273449659,0.000247886605222,0.0299305139501879,0.1427159539765593,1.0,2,True,The solver successfully reached the end of the integration interval.,4.344,True,True,default
MDA-MB-231/ATCC,act_hamming+zero,6,740,24559,9.999999717180683e-10,9.999999974752427e-07,-47.369998931884766,,NSC740,NSC24559,other,other,241279087.64641,244526370.85264963,1.0134586185562773,0.5551191953757303,4.4,0.4448808046242697,0.0239980859088241,7.6,-0.0003893605579345,0.2668864562124158,0.8761376668510292,0.0574276481055735,,0.0332313275283831,0.0827978526075988,7.867926792467951,0.0928461923617637,0.3544306596493041,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.0018356311089325,0.0010675102494689,0.5815494432809682,400.0,2.464070125116591,1.4868841374663146,0.6034260641814976,400.0,-0.0296826273449659,0.000247886605222,0.0299305139501879,0.1427159539765593,1.0,2,True,The solver successfully reached the end of the integration interval.,4.147,True,True,default
MDA-MB-231/ATCC,act_hamming+zero,7,82151,713563,1.999999987845058e-08,9.999999747378752e-05,-54.54100036621094,,daunorubicin,arsenic trioxide,dna_intercalator,other,241279087.64641,244515423.7123389,1.0134132472793154,0.5717475918781991,4.4,0.4282524081218009,0.0226676926186662,7.4,-0.0003699173010055,0.2540683571073475,0.8814573148057406,0.0547987138730824,,0.0326591032055151,0.0788049660831054,7.902568004109691,0.0860676970099332,0.3389580696718142,5.25,0.2033398275045627,0.060731260348103,166.03773584905662,0.1181595423028795,0.0274791161043434,0.2325594325163001,145.36768246977357,2.404551954742679,1.4489549301983955,0.602588323093004,400.0,-0.0278832025639528,0.000229881055163,0.0281130836191159,0.1426583356628345,1.0,2,True,The solver successfully reached the end of the integration interval.,3.871,True,True,default
DU-145,tanimoto+zero,7,740,9706,9.99999993922529e-09,4.999999873689376e-06,-42.18000030517578,,NSC740,triethylenemelamine,other,alkylator,241279087.64641,237085589.93438035,0.982619721613938,0.0107962831162313,4.4,0.9892037168837686,0.2796872217289024,,0.0130311833937993,1.9779984364505052,0.3895347825694593,0.4094537569810417,,0.0320347053252085,1.9017117085947677,2.111802133377051,0.8468404728934176,0.984777798643742,5.25,0.1843879427084984,0.0402673444188251,173.58490566037736,1.4550478895615448,0.94658216030965,0.6505505194024144,400.0,9.924387754952315,6.607853768681455,0.6658197897783775,400.0,-0.1231850960679441,0.0197959903696773,0.1429810864376215,0.1162661226958795,1.0,2,True,The solver successfully reached the end of the integration interval.,9.011,True,True,default
