sweep,readout,n_methods,spearman_vs_default,p_value
default,log_kill_nadir,7,1.0,0.0
default,log_kill_auc,7,1.0,0.0
default,nadir_burden,7,1.0,0.0
default,depth_of_response,7,1.0,0.0
default,kg_regrowth,7,1.0,0.0
default,core_sparing,7,1.0,0.0
default,hypoxic_fraction,7,1.0,0.0
default,residual_core_burden,7,1.0,0.0
diffusivity_high,log_kill_nadir,7,0.7818181818181817,0.03782289184415102
diffusivity_high,log_kill_auc,7,1.0,0.0
diffusivity_high,nadir_burden,7,1.0,0.0
diffusivity_high,depth_of_response,7,0.7818181818181817,0.03782289184415102
diffusivity_high,kg_regrowth,7,0.9636363636363636,0.0004749073720765298
diffusivity_high,core_sparing,7,-0.12727272727272726,0.7856807944470137
diffusivity_high,hypoxic_fraction,7,0.8909090909090909,0.007113125834016512
diffusivity_high,residual_core_burden,7,1.0,0.0
diffusivity_low,log_kill_nadir,7,0.6727272727272727,0.09772552705382054
diffusivity_low,log_kill_auc,7,0.9636363636363636,0.0004749073720765298
diffusivity_low,nadir_burden,7,0.7818181818181817,0.03782289184415102
diffusivity_low,depth_of_response,7,0.9636363636363636,0.0004749073720765298
diffusivity_low,kg_regrowth,7,0.9723448696087954,0.00024067356450236847
diffusivity_low,core_sparing,7,0.3090909090909091,0.4999731357771551
diffusivity_low,hypoxic_fraction,7,0.9636363636363636,0.0004749073720765298
diffusivity_low,residual_core_burden,7,0.7818181818181817,0.03782289184415102
oxygen_high,log_kill_nadir,0,,
oxygen_high,log_kill_auc,7,1.0,0.0
oxygen_high,nadir_burden,7,1.0,0.0
oxygen_high,depth_of_response,7,1.0,0.0
oxygen_high,kg_regrowth,7,1.0,0.0
oxygen_high,core_sparing,7,-0.6363636363636364,0.12439958945247923
oxygen_high,hypoxic_fraction,7,1.0,0.0
oxygen_high,residual_core_burden,7,1.0,0.0
oxygen_low,log_kill_nadir,7,0.7818181818181817,0.03782289184415102
oxygen_low,log_kill_auc,7,1.0,0.0
oxygen_low,nadir_burden,7,1.0,0.0
oxygen_low,depth_of_response,7,1.0,0.0
oxygen_low,kg_regrowth,7,0.12727272727272726,0.7856807944470137
oxygen_low,core_sparing,7,1.0,0.0
oxygen_low,hypoxic_fraction,7,1.0,0.0
oxygen_low,residual_core_burden,7,1.0,0.0
phi_strong,log_kill_nadir,7,1.0,0.0
phi_strong,log_kill_auc,7,1.0,0.0
phi_strong,nadir_burden,7,1.0,0.0
phi_strong,depth_of_response,7,1.0,0.0
phi_strong,kg_regrowth,7,1.0,0.0
phi_strong,core_sparing,7,1.0,0.0
phi_strong,hypoxic_fraction,7,1.0,0.0
phi_strong,residual_core_burden,7,1.0,0.0
phi_weak,log_kill_nadir,7,0.8909090909090909,0.007113125834016512
phi_weak,log_kill_auc,7,1.0,0.0
phi_weak,nadir_burden,7,1.0,0.0
phi_weak,depth_of_response,7,1.0,0.0
phi_weak,kg_regrowth,7,1.0,0.0
phi_weak,core_sparing,7,1.0,0.0
phi_weak,hypoxic_fraction,7,1.0,0.0
phi_weak,residual_core_burden,7,1.0,0.0
radius_large,log_kill_nadir,0,,
radius_large,log_kill_auc,7,0.9636363636363636,0.0004749073720765298
radius_large,nadir_burden,7,0.9636363636363636,0.0004749073720765298
radius_large,depth_of_response,7,1.0,0.0
radius_large,kg_regrowth,7,1.0,0.0
radius_large,core_sparing,7,-1.0,0.0
radius_large,hypoxic_fraction,7,1.0,0.0
radius_large,residual_core_burden,7,0.9636363636363636,0.0004749073720765298
radius_small,log_kill_nadir,7,0.7818181818181817,0.03782289184415102
radius_small,log_kill_auc,7,1.0,0.0
radius_small,nadir_burden,7,1.0,0.0
radius_small,depth_of_response,7,0.8909090909090909,0.007113125834016512
radius_small,kg_regrowth,7,-0.07479575920067658,0.8733776582710435
radius_small,core_sparing,7,1.0,0.0
radius_small,hypoxic_fraction,7,0.8909090909090909,0.007113125834016512
radius_small,residual_core_burden,7,1.0,0.0
rho_high,log_kill_nadir,7,0.7818181818181817,0.03782289184415102
rho_high,log_kill_auc,7,1.0,0.0
rho_high,nadir_burden,7,1.0,0.0
rho_high,depth_of_response,7,1.0,0.0
rho_high,kg_regrowth,7,0.9636363636363636,0.0004749073720765298
rho_high,core_sparing,7,0.9272727272727274,0.002633681095339847
rho_high,hypoxic_fraction,7,1.0,0.0
rho_high,residual_core_burden,7,1.0,0.0
