readout,baseline,n_pairs,savitar_mean,baseline_mean,median_diff_oriented,wilcoxon_stat,p_raw,p_holm
kg_biexp,linear_curve,600,0.03003680741502804,0.02795648566786427,-7.34556552222515e-05,65203.0,0.0006315210611226741,0.0031576053056133705
kg_biexp,hamming+zero,600,0.03003680741502804,0.032036161693369494,0.0,38557.5,0.008137433093895804,0.032549732375583215
kg_biexp,act_hamming+zero,600,0.03003680741502804,0.032025768099596764,0.0,38641.5,0.008970920758028156,0.032549732375583215
kg_biexp,tanimoto+zero,600,0.03003680741502804,0.03166878746004071,0.0,43650.0,0.09538274990965176,0.19076549981930352
kg_biexp,random,600,0.03003680741502804,0.03078988177504493,0.0,64444.5,0.8316133041045923,0.8316133041045923
ttg_biexp,hamming+zero,600,3.9920527880976677,5.704829661505236,-0.17346535236992355,11231.5,3.965247669775347e-41,1.9826238348876736e-40
ttg_biexp,act_hamming+zero,600,3.9920527880976677,5.705415414666359,-0.17346535236992355,11231.5,3.965352706626578e-41,1.9826238348876736e-40
ttg_biexp,tanimoto+zero,600,3.9920527880976677,5.300689107977191,-0.031878267039384234,20313.0,1.1653333327913192e-25,3.4959999983739577e-25
ttg_biexp,random,600,3.9920527880976677,4.813615566773941,-0.009534563455338985,43595.5,9.532097552406475e-11,1.906419510481295e-10
ttg_biexp,linear_curve,600,3.9920527880976677,3.2666351141832437,0.14161216329318704,53855.0,1.6799257667486993e-10,1.906419510481295e-10
depth_of_response,act_hamming+zero,600,0.8274785485994477,0.620295575545045,0.033842255451524555,8502.5,1.0727269305109684e-47,5.363634652554842e-47
depth_of_response,hamming+zero,600,0.8274785485994477,0.6206547193263167,0.033842255451524555,8508.5,1.1103649000842244e-47,5.363634652554842e-47
depth_of_response,tanimoto+zero,600,0.8274785485994477,0.6486700234908018,0.018804875978599978,14056.0,1.0825676427673029e-37,3.2477029283019086e-37
depth_of_response,random,600,0.8274785485994477,0.6835618249758064,0.009155826224895247,34712.5,6.130010729300362e-20,1.2260021458600724e-19
depth_of_response,linear_curve,600,0.8274785485994477,0.8999422833782325,-0.005380262398540947,53159.0,5.023098184859445e-11,5.023098184859445e-11
ets_early,act_hamming+zero,600,0.8018590117769095,0.5736161673237289,0.034865324342602075,8917.5,1.15233683693038e-46,5.7616841846519005e-46
ets_early,hamming+zero,600,0.8018590117769095,0.5739220804674248,0.034865324342602075,8923.5,1.192308456311187e-46,5.7616841846519005e-46
ets_early,tanimoto+zero,600,0.8018590117769095,0.6030879666589533,0.027086718292663348,14082.0,1.2286479814575982e-37,3.6859439443727943e-37
ets_early,random,600,0.8018590117769095,0.648848583399001,0.011222782094791994,34953.5,1.1941713144954932e-19,2.3883426289909864e-19
ets_early,linear_curve,600,0.8018590117769095,0.8847121808036555,-0.006961463688964331,53534.0,9.66549618548609e-11,9.66549618548609e-11
log_kill_nadir,hamming+zero,600,1.5924199663421579,0.8251620542977219,0.23046561359167567,8776.5,5.158752407899146e-47,2.5793762039495732e-46
log_kill_nadir,act_hamming+zero,600,1.5924199663421579,0.8248856246636779,0.23046561359167567,8776.5,5.158909377208097e-47,2.5793762039495732e-46
log_kill_nadir,tanimoto+zero,600,1.5924199663421579,0.9176286535121649,0.11433346978348394,15152.0,2.068463250894304e-35,6.205389752682911e-35
log_kill_nadir,random,600,1.5924199663421579,1.0531290865567275,0.12595708202167735,36416.5,6.1216369172864e-18,1.22432738345728e-17
log_kill_nadir,linear_curve,600,1.5924199663421579,1.962752582728424,-0.16862700164215771,56194.0,7.657430902020667e-09,7.657430902020667e-09
log_kill_auc,act_hamming+zero,600,0.4065410461921083,0.19549318334352553,0.04844384342679291,9492.5,2.9582492194004564e-45,1.4791246097002283e-44
log_kill_auc,hamming+zero,600,0.4065410461921083,0.1955401767051017,0.04844384342679291,9495.5,3.008273842383965e-45,1.4791246097002283e-44
log_kill_auc,tanimoto+zero,600,0.4065410461921083,0.2147767299088588,0.02391078949384705,15379.0,6.010332539305662e-35,1.8030997617916985e-34
log_kill_auc,random,600,0.4065410461921083,0.24797726477375234,0.025086341069308796,37618.5,1.3479571339601425e-16,2.695914267920285e-16
log_kill_auc,linear_curve,600,0.4065410461921083,0.4993834940515671,-0.0386983987597125,58292.0,1.725863891277415e-07,1.725863891277415e-07
nadir_burden,act_hamming+zero,600,0.17252145140055233,0.379704424454955,0.0338422554515244,8502.5,1.0727269305109684e-47,5.363634652554842e-47
nadir_burden,hamming+zero,600,0.17252145140055233,0.3793452806736833,0.0338422554515244,8508.5,1.1103649000842244e-47,5.363634652554842e-47
nadir_burden,tanimoto+zero,600,0.17252145140055233,0.35132997650919806,0.018804875978599957,14056.0,1.0825676427673029e-37,3.2477029283019086e-37
nadir_burden,random,600,0.17252145140055233,0.31643817502419364,0.009155826224895282,34712.5,6.130010729300362e-20,1.2260021458600724e-19
nadir_burden,linear_curve,600,0.17252145140055233,0.10005771662176756,-0.005380262398540999,53159.0,5.023098184859445e-11,5.023098184859445e-11
residual_core_burden,hamming+zero,600,0.1091038776980921,0.13086340718386755,0.0,17172.5,3.977146489257864e-28,1.988573244628932e-27
residual_core_burden,act_hamming+zero,600,0.1091038776980921,0.13086271805524233,0.0,17172.5,3.977218300285142e-28,1.988573244628932e-27
residual_core_burden,tanimoto+zero,600,0.1091038776980921,0.12958543830721866,0.0,22280.0,9.658236045197002e-22,2.8974708135591006e-21
residual_core_burden,random,600,0.1091038776980921,0.12211591638272704,0.0,46240.5,5.382833829097686e-08,1.0765667658195372e-07
residual_core_burden,linear_curve,600,0.1091038776980921,0.09326412864563607,0.0,53577.0,1.0584925555267775e-06,1.0584925555267775e-06
hypoxic_fraction,act_hamming+zero,600,0.16229307556660424,0.19009382031283717,0.0,4129.0,2.0368104808013668e-31,1.0184052404006834e-30
hypoxic_fraction,hamming+zero,600,0.16229307556660424,0.19009382031283717,0.0,4129.0,2.0368104808013668e-31,1.0184052404006834e-30
hypoxic_fraction,tanimoto+zero,600,0.16229307556660424,0.1888662789070537,0.0,6413.0,5.2860765941013984e-24,1.5858229782304194e-23
hypoxic_fraction,random,600,0.16229307556660424,0.18061638280011094,0.0,20005.0,6.676398122815169e-09,1.3352796245630338e-08
hypoxic_fraction,linear_curve,600,0.16229307556660424,0.14138882223894786,0.0,31430.5,4.6229732278927994e-08,4.6229732278927994e-08
